, Brand , Model Name , Screen Size , Colour , Hard Disk Size , CPU Model , RAM Memory Installed Size , Operating System , Special Feature , Graphics Card Description ,Price, Graphics Coprocessor , CPU Speed , Hard Disk Description , Item Weight , Connectivity Technology , Graphics Processor Manufacturer , Resolution , Total USB Ports , Processor Count , CPU Manufacturer , Human Interface Input , Form Factor 
28, HP , HP Pavilion 14-ec1003AU , 14 Inches , Natural Silver ,, Ryzen 5 , 8 GB , Windows 11 Home ," FHD, Micro-Edge Display ", Integrated ,"₹52,990.00", AMD Radeon Graphics ,,,,,,,,,,,
29, HP , Celeron N4500 , 35.6 Centimetres , Jet Black , 256 GB , Celeron , 8 GB , Windows 11 Home ," Micro-Edge Display, HD ", Integrated ,"₹26,990.00",,,,,,,,,,,,
30, Acer , Acer one 14 , 14 Inches , Silver ,, Core i5 , 8 GB , Windows 11 Home ," Anti Glare Screen, Webcam, Memory Card Slot ", Integrated ,"₹42,990.00", Intel Iris Xe Graphics ,,,,,,,,,,,
31, Lenovo , ThinkBook 15 Gen3 , 15.6 Inches , Mineral Grey , 512 GB , AMD Ryzen 5 5500U , 8 GB , Windows 11 Home ,"  Numeric Keypad, Spill resistant, Memory Card Slot, HD Audio, Fingerprint Reader, Anti Glare Coating, Narrow Bezel, Lightweight, Backlit Keyboard, Thin  See more  ", Integrated ,"₹43,990.00",,,,,,,,,,,,
32, Dell , Dell Latitude-cr , 14 Inches ,, 512 GB , Intel Core i5 , 8 GB , Windows 10 , Webcam , Integrated ,"₹19,000.00", Intel HD Graphics 5500 ,,,,,,,,,,,
33, Acer , Extensa , 15.6 Inches , Silver , 512 GB , Core i3 , 8 GB , Windows 11 Home ," Webcam, Thin ", Integrated ,"₹33,990.00",,,,,,,,,,,,
34, Xiaomi , Mi Notebook , 15.6 Inches , Gray , 512 GB , Core i5 , 16 GB , Windows 11 Home ," Backlift Keyboard, Fingerprint Sensor, Anti-glare Screen ", Integrated ,"₹55,939.00",,,,,,,,,,,,
35, HP , HP ProBook 445 G8 Notebook , 35.6 Centimetres , Pike Silver Aluminum , 512 GB , Ryzen 7 , 8 GB , DOS ," FHD, IPS Display, Anti-glare Display, Narrow bazel ", Integrated ,"₹46,990.00",,,,,,,,,,,,
36, HP , 14s-fq0568TU , 35.6 Centimetres , Jet Black , 256 GB , Athlon , 8 GB , Windows 11 Home ," HD, Micro-Edge Display ", Integrated ,"₹27,490.00",,,,,,,,,,,,
37, HP , HP 247 G8 Notebook , 35.6 Centimetres , Black , 256 GB , Athlon Silver 3050U , 4 GB , DOS ," Micro-edge, Anti-glare Display, HD ", Integrated ,"₹20,001.00",,,,,,,,,,,,
