,Brand,Price,Sales Package,Model Number,Part Number,Model Name,Series,Color,Type,Suitable For,MS Office Provided,Processor Brand,Processor Name,SSD,SSD Capacity,RAM,RAM Type,Processor Variant,Clock Speed,Graphic Processor,Operating System,USB Port,Touchscreen,Screen Size,Screen Resolution,Screen Type,Speakers,Internal Mic,Wireless LAN,Bluetooth,Dimensions,Weight,Disk Drive,Web Camera,Keyboard,Backlit Keyboard,Warranty Summary,Warranty Service Type,Covered in Warranty,Not Covered in Warranty
792,Lenovo IdeaPad 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop Rs.60890  Price in India - Buy Lenovo IdeaPad 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 14ITL05 Thin and Light Laptop Platinum Grey Online - Lenovo : Flipkart.com,33990,"Laptop, Power Adaptor, User Guide, Warranty Documents",14ITL05,81X700CWIN|81X700ECIN,14ITL05,IdeaPad 3 Intel,Platinum Grey,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i3,Yes,256 GB,8 GB,DDR4,1115G4,1.7 GHz upto max turbo frequency at 4.1 Ghz,Intel Integrated UHD,Windows 11 Home,"1 x USB 2.0, 2 x USB 3.2 Gen 1",No,35.56 cm (14 inch),1920 x 1080 pixel,Full HD TN 220nits Anti-glare,Built-in Dual Speakers,Built-in array microphones,"11ac, 2x2",v5.0,327.1 x 241 x 19.9 mm,1.5 kg,Not Available,720p with Privacy Shutter,"Non-backlit, English",No,2 Year Onsite�Warranty,Onsite,Manufacturer’s warranty against faulty workmanship or defective parts,(1) Any kind of physical damage including electrical surge; (2) No software coverage in warranty
793,HP Pavilion Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15-EG2009TU Thin and Light Laptop Rs.75794  Price in India - Buy HP Pavilion Intel Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15-EG2009TU Thin and Light Laptop Natural Silver Online - HP : Flipkart.com,62750,"Laptop, Power Adaptor, Battery, Warranty Documents, User Guide",15-EG2009TU,67U22PA#ACJ,15-EG2009TU,Pavilion Intel,Natural Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Intel,Core i5,Yes,512 GB,8 GB,DDR4,1240P,Max Turbo Frequency Upto 4.4 GHz,Intel Integrated Iris Xe,Windows 11 Home,"1 x SuperSpeed USB Type-C, 2 x SuperSpeed USB Type-A",No,39.62 cm (15.6 inch),1920 x 1080 Pixel,"Full HD, IPS, Micro-Edge, Bright View, Brightness: 250 nits, 141 ppi, Color Gamut: 45% NTSC",Built-in Dual Speakers,Built in Dual Digital Array Microphone,MediaTek Wi-Fi Certified 6 MT7921 (2x2),v5.2,360 x 234 x 17.9 mm,1.75 kg,Not Available,HP Wide Vision 720p HD Camera with Temporal Noise Reduction,"Full-size, backlit, Natural Silver keyboard with numeric keypad",Yes,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
794,ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1500EA-EJ3381WS Laptop Rs.51990  Price in India - Buy ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1500EA-EJ3381WS Laptop Indie Black Online - ASUS : Flipkart.com,35990,"Laptop, Adaptor & Manual",X1500EA-EJ3381WS,90NB0TY5-M03EN0,X1500EA,Vivobook 15,Indie Black,Laptop,"Everyday Use, Processing & Multitasking, Performance",Yes,Intel,Core i3,Yes,512 GB,8 GB,DDR4,i3-1115G4,3.0 Ghz. Turbo Upto 4.1 Ghz.,Intel Integrated UHD,Windows 11 Home,"1x USB 3.2 Gen 1 Type-A, 1x USB 3.2 Gen 1 Type-C, 2x USB 2.0 Type-A",No,39.62 cm (15.6 inch),1920 x 1080 pixel,"(39.62cm)15.6-inch, FHD (1920 x 1080) 16:9, LED Backlit, 60Hz refresh rate, 250nits, NTSC: 45%, Anti-glare display, (Screen-to-body ratio)83%",Built-in speaker Built-in microphone with Cortana support,Yes,Wi-Fi 5(802.11ac) (Dual band) 1*1 + Bluetooth 4.1,5,36.00 x 23.50 x 1.99 ~ 1.99 cm,1.8 kg,Not Available,VGA,"Chiclet Keyboard with Num-key, 1.4mm Key-travel",,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Any Type of Damage
795,HP Ryzen 3 Quad Core R3 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Business Laptop Rs.37188  Price in India - Buy HP Ryzen 3 Quad Core R3 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Business Laptop Black Online - HP : Flipkart.com,30990,1 Laptop:: 2 User manual :: 3 Adaptar,255 G8,689T4PA,255 G8,,Black,Business Laptop,Everyday Use,No,AMD,Ryzen 3 Quad Core,Yes,512 GB,8 GB,DDR4,R3 3250,2.6GHz Upto 3.5GHz,AMD Radeon AMD,Windows 11 Home,,No,39.62 cm (15.6 Inch),1366 x 768 pixel,HD,Built-in Stereo Speakers,Built-in Digital Microphone,802.11ac,v4.0,95.0 x 40.0 x 26.5mm,1.74 Kg,Not Available,Yes,Full Size Textured island-style Keyboard,,1 Year Onsite warranty by OEM,Onsite,Manufacturing Damage,Physical Damage
796,Lenovo ThinkBook 15 Ryzen 3 Hexa Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) TB15 G3 ACL Thin and Light Laptop Rs.58500  Price in India - Buy Lenovo ThinkBook 15 Ryzen 3 Hexa Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) TB15 G3 ACL Thin and Light Laptop Mineral Grey Online - Lenovo : Flipkart.com,33990,"Laptop, User manual, Adapter",TB15 G3 ACL,21A4A08WIH,TB15 G3 ACL,ThinkBook 15,Mineral Grey,Thin and Light Laptop,Processing & Multitasking,No,AMD,Ryzen 3 Hexa Core,Yes,512 GB,8 GB,DDR4,5300U,2.6 GHz with Turbo Boost Upto 3.8 GHz,AMD Radeon AMD,Windows 11 Home,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 2 x USB-C 3.2 Gen 2 (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",No,39.62 cm (15.6 Inch),1920 x 1080 Pixel,Full HD Anti-glare Display,Built-in Speakers,Yes,"Wi-Fi 6, 802.11ax 2x2 Wi-Fi",v5.1,,1.7 Kg,Not Available,"HD 720p, with privacy shutter, fixed focus",,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
797,HP 255 G8 Ryzen 3 Dual Core AMD Ryzen3 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Notebook Notebook Rs.44912  Price in India - Buy HP 255 G8 Ryzen 3 Dual Core AMD Ryzen3 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Notebook Notebook Dark Ash Online - HP : Flipkart.com,34800,Laptop 1 ; Adapter 1 ; Power Cable 1,255 G8 Notebook,62y23pa,HP 255 G8 Laptop,255 G8,Dark Ash,Notebook,Everyday Use,No,AMD,Ryzen 3 Dual Core,Yes,512 GB,8 GB,DDR4,AMD Ryzen3 3250,"1.0 GHz base frequency, up to 3.6 GHz with Intel® Turbo Boost Technology,",AMD Radeon Vega 8 Graphics,Windows 11 Home,2 USB 3.1 Gen 1; 1 USB 2.0;,No,39.62 cm (15.6 inch),1920 * 1080 pixel,FHD SVA anti-glare WLED-backlit,Dual stereo speakers,microphone combo,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi® with Bluetooth® 5 Combo,Yes,37.6 x 24.6 x 2.25 cm,1.78 kg,Not Available,Yes,Yes,No,1 Year,On Site Warranty,Hardware for 1 Year,Physical Damage
798,Acer One Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Z8-415 Thin and Light Laptop Rs.43999  Price in India - Buy Acer One Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Z8-415 Thin and Light Laptop Silver Online - Acer : Flipkart.com,31990,"Laptop, Power Adaptor, User Guide, Warranty Documents",Z8-415,UN.599SI.011 / UN.599SI.016,Z8-415,One,Silver,Thin and Light Laptop,"Entertainment, Performance, Processing & Multitasking",No,Intel,Core i3,Yes,512 GB,8 GB,DDR4,1115G4,3.00GHz Upto 4.10GHz,Intel Integrated Integrated,Windows 11 Home,"2 x USB 3.2 Gen 1 Type A, 1 x USB 3.2 Gen 1 Type C",No,35.56 cm (14 Inch),1920 x 1080 Pixel,Full HD,,,802.11 ax,v5.0,323 x 221 x 21.6,1.49 Kg,Not Available,HD webcam with Privacy Camera Physical Shutter,Isolated Keys keyboard,No,1 Year Warranty,Onsite,Manufacturing Defects,Physical damage
799,SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2 - (4 GB/128 GB EMMC Storage/Windows 11 Home) NP340XLA-KA1IN Thin and Light Laptop Rs.47990  Price in India - Buy SAMSUNG Galaxy Book Go Snapdragon 7c Gen 2 - (4 GB/128 GB EMMC Storage/Windows 11 Home) NP340XLA-KA1IN Thin and Light Laptop Silver Online - SAMSUNG : Flipkart.com,32990,"Laptop, battery, adapter, cables and user manuals",NP340XLA-KA1IN,NP340XLA-KA1IN,NP340XLA-KA1IN,Galaxy Book Go,Silver,Thin and Light Laptop,Processing & Multitasking,Yes,Qualcomm,Snapdragon 7c Gen 2,No,,4 GB,LPDDR4X,,Up to 2.55 GHz,Qualcomm Adreno Adreno,Windows 11 Home,"2 x USB Type-C, 1 USB Type-A",No,35.56 cm (14 Inch),1920 x 1080 Pixel,Full HD TFT LED Display,Built-in Stereo Speakers,Built-in microphone,802.11 ac (2x2),v5.1,323.9 x 224.8 x 14.9 mm,1.38 Kg,Not Available,HD Webam,island Keyboard,No,1 Year Onsite Warranty,Onsite,Manufacturing Defects,Physical Damage
800,HP 250 G8 Core i3 11th Gen - (8 GB/512 GB SSD/DOS) 250 G8 Notebook Rs.41208  Price in India - Buy HP 250 G8 Core i3 11th Gen - (8 GB/512 GB SSD/DOS) 250 G8 Notebook Black Online - HP : Flipkart.com,33990,"Laptop, Power Adapter, User Guide",250 G8,6G9R1PA#ACJ,HP 250 G8 (6G9R1PA),250 G8,Black,Notebook,Everyday Use,No,Intel,Core i3,Yes,512 GB,8 GB,DDR4,,,Intel Integrated Intel® UHD Graphics,DOS,,No,39.62 cm (15.6 inch),1366 x 768 pixel,,,,,Yes,,,Not Available,,,,1 Year,ONSITE,MANUFACTURING DEFECT,PHYSICAL DAMAGE
801,DELL Core i3 11th Gen - (8 GB/256 GB SSD/32 GB EMMC Storage/Ubuntu) Latitude 3420 Business Laptop Rs.56426  Price in India - Buy DELL Core i3 11th Gen - (8 GB/256 GB SSD/32 GB EMMC Storage/Ubuntu) Latitude 3420 Business Laptop Black Online - DELL : Flipkart.com,33990,1 Laptop:: 2 User manual :: 3 Adaptar,Latitude 3420,3420,Latitude,,Black,Business Laptop,Everyday Use,No,Intel,Core i3,Yes,256 GB,8 GB,DDR4,1115G4,3.0GHz Upto 4.1GHz,Intel Integrated Integrated,Ubuntu,Yes,No,35.56 cm (14 Inch),1920 x 1080 Pixel,HD,,,WiFi 802.11a/b/g,v5.0,326 x 18 x 226,1.52 Kg,Not Available,Yes,,,1 Year Onsite with ADP warranty by OEM,Onsite,Manufacturing Defects,Physical damage
